new_colonynumber,sample_ID,site,SGD_number,TA_initial,P_R,umol.cm2.hr
3,Varari_Col3_Dil1_Light,Varari,0,2440.699175,C,NA
3,Varari_Col3_Dil2_Light,Varari,0.01,2437.499547,C,-0.08552365561689569
3,Varari_Col3_Dil3_Light,Varari,0.03,2470.63337,C,-0.0025553827156028796
3,Varari_Col3_Dil4_Light,Varari,0.05,2427.532743,C,-0.14417653644112485
3,Varari_Col3_Dil5_Light,Varari,0.1,2441.384493,C,-0.03728324752568258
3,Varari_Col3_Dil6_Light,Varari,0.5,2447.2949,C,-0.06718682808109595
3,Varari_Col3_Dil7_Light,Varari,1,2461.829614,C,-0.3686690266693583
3,Varari_Col3_Dil8_Light,Varari,2,2472.535253,C,-0.16595018348865584
3,Varari_Col3_Dil9_Light,Varari,4,2580.241802,C,0.12217251764874403
4,Varari_Col4_Dil1_Light,Varari,0,2388.02795,C,0.036712578848311854
4,Varari_Col4_Dil2_Light,Varari,0.01,2378.83987,C,0.024679700527763464
4,Varari_Col4_Dil3_Light,Varari,0.03,2378.42618,C,0.07321204526217066
4,Varari_Col4_Dil4_Light,Varari,0.05,2373.20997,C,Inf
4,Varari_Col4_Dil5_Light,Varari,0.1,2381.8341,C,0.060387830227568905
4,Varari_Col4_Dil6_Light,Varari,0.5,2383.81035,C,0.05978202332700415
4,Varari_Col4_Dil7_Light,Varari,1,2395.06591,C,0.0566259445458135
4,Varari_Col4_Dil8_Light,Varari,2,2434.37846,C,0.02851242633090859
4,Varari_Col4_Dil9_Light,Varari,4,2484.55214,C,-0.42504007473511385
5,Varari_Col5_Dil1_Light,Varari,0,2377.32016,C,0.35337361659763733
5,Varari_Col5_Dil2_Light,Varari,0.01,2384.387201,C,0.1592170700348565
5,Varari_Col5_Dil3_Light,Varari,0.03,2367.39884,C,0.12762680872880763
5,Varari_Col5_Dil4_Light,Varari,0.05,2364.629086,C,0.14952877796819664
5,Varari_Col5_Dil5_Light,Varari,0.1,2388.441818,C,0.13567416274120223
5,Varari_Col5_Dil6_Light,Varari,0.5,2391.440484,C,0.05754018185059932
5,Varari_Col5_Dil7_Light,Varari,1,2407.472045,C,0.15576983071289488
5,Varari_Col5_Dil8_Light,Varari,2,2429.451371,C,0.13734160816819757
5,Varari_Col5_Dil9_Light,Varari,4,2473.296673,C,0.12922932292204356
6,Varari_Col6_Dil1_Light,Varari,0,2377.32016,C,0.11126380625085287
6,Varari_Col6_Dil2_Light,Varari,0.01,2384.387201,C,0.11480352835963938
6,Varari_Col6_Dil3_Light,Varari,0.03,2367.39884,C,0.13750811823845668
6,Varari_Col6_Dil4_Light,Varari,0.05,2364.629086,C,0.186497532172611
6,Varari_Col6_Dil5_Light,Varari,0.1,2388.441818,C,0.07937169758713097
6,Varari_Col6_Dil6_Light,Varari,0.5,2391.440484,C,0.09138389473968718
6,Varari_Col6_Dil7_Light,Varari,1,2407.472045,C,0.23132001549837078
6,Varari_Col6_Dil8_Light,Varari,2,2429.451371,C,0.13588685975523698
6,Varari_Col6_Dil9_Light,Varari,4,2473.296673,C,0.06186903383031918
7,Varari_Col7_Dil1_Light,Varari,0,2368.214155,C,0.2608474300428605
7,Varari_Col7_Dil2_Light,Varari,0.01,2376.059851,C,0.289786506554457
7,Varari_Col7_Dil3_Light,Varari,0.03,2359.780882,C,0.21958927529619032
7,Varari_Col7_Dil4_Light,Varari,0.05,2344.51916,C,0.253199918829564
7,Varari_Col7_Dil5_Light,Varari,0.1,2354.608921,C,0.3019427398549368
7,Varari_Col7_Dil6_Light,Varari,0.5,2379.650785,C,0.2939230688184796
7,Varari_Col7_Dil7_Light,Varari,1,2390.881687,C,0.3607701575905506
7,Varari_Col7_Dil8_Light,Varari,2,2412.850508,C,0.0986859551593713
7,Varari_Col7_Dil9_Light,Varari,4,2469.40063,C,0.251353894337372
8,Varari_Col8_Dil1_Light,Varari,0,2368.214155,C,0.03669898353334259
8,Varari_Col8_Dil2_Light,Varari,0.01,2376.059851,C,-0.029997207520974258
8,Varari_Col8_Dil3_Light,Varari,0.03,2359.780882,C,-0.05161387265476203
8,Varari_Col8_Dil4_Light,Varari,0.05,2344.51916,C,0.008147292447014187
8,Varari_Col8_Dil5_Light,Varari,0.1,2354.608921,C,0.07463519138524023
8,Varari_Col8_Dil6_Light,Varari,0.5,2379.650785,C,-0.020348304756728764
8,Varari_Col8_Dil7_Light,Varari,1,2390.881687,C,Inf
8,Varari_Col8_Dil8_Light,Varari,2,2412.850508,C,-0.006229854420588644
8,Varari_Col8_Dil9_Light,Varari,4,2469.40063,C,0.09270231627944428
