SampleID,TA,Mass,Sample.Index
junk1,2415.10254,60.2831,1
junk2,2390.591295,60.154,2
CRM,2238.949245,60.2941,3
postCabral_Col7_Dil1,2371.581242,60.29,4
postCabral_Col8_Dil1,2387.010951,60.2812,5
postCabral_Blank_Dil1,2438.209258,60.2316,6
postCabral_Col7_Dil2,2372.372145,60.1683,7
postCabral_Col8_Dil2,2378.883991,60.057,8
postCabral_Blank_Dil2,2406.976199,60.144,9
postCabral_Col7_Dil3,2395.493573,60.2972,10
postCabral_Col8_Dil3,2397.745495,60.0769,11
postCabral_Blank_Dil3,2409.852201,60.1586,12
postCabral_Col7_Dil4,2364.631864,60.0222,13
postCabral_Col8_Dil4,2371.355603,59.8974,14
postCabral_Blank_Dil4,2391.23163,59.9969,15
postCabral_Col7_Dil5,2386.033331,60.3496,16
postCabral_Col8_Dil5,2401.438151,59.9547,17
postCabral_Blank_Dil5,2419.707615,60.3734,18
postCabral_Col7_Dil6,2370.480641,60.2631,19
postCabral_Col8_Dil6,2387.583749,60.3666,20
postCabral_Blank_Dil6,2414.555882,59.9221,21
postCabral_Col7_Dil7,2436.457464,60.0387,22
postCabral_Col8_Dil7,2414.232623,60.3792,23
postCabral_Blank_Dil7,2460.343234,60.1943,24
postCabral_Col7_Dil8,2374.238719,59.9783,25
postCabral_Col8_Dil8,2382.143503,59.9042,26
postCabral_Blank_Dil8,2403.017238,60.2474,27
postCabral_Col7_Dil9,2381.336345,60.367,28
postCabral_Col8_Dil9,2410.307212,59.8846,29
postCabral_Blank_Dil9,2396.494132,60.2789,30
