new_colonynumber,new_pH,SGD_number,site,salinity,date,light_dark,P_R,umol.cm2.hr,umol.cm2.hr_uncorr
6,8.024526644488331,0.05,Varari,36.3,6/21/23,LIGHT,NP,0.010360939801318182,0.009286445482645771
7,8.029750313035391,0.05,Varari,36.4,6/22/23,LIGHT,NP,0.005406644430934678,0.004983480816958107
8,8.029750313035391,0.05,Varari,36.4,6/22/23,LIGHT,NP,0.004820010176323228,0.004399941284759125
13,7.995809964500741,0.1,Cabral,36.5,6/10/23,LIGHT,NP,0.004405850378409567,0.004193338711433518
14,7.995809964500741,0.1,Cabral,36.5,6/10/23,LIGHT,NP,0.004955866924132966,0.00483961629360492
15,7.973796473145285,0.1,Cabral,36.5,6/11/23,LIGHT,NP,0.004763377076588411,0.00459762358505345
16,7.973796473145285,0.1,Cabral,36.5,6/11/23,LIGHT,NP,0.0038380902402730837,0.00364311918412857
18,8.00701502282319,0.1,Cabral,36.4,6/12/23,LIGHT,NP,0.005451404525594364,0.005112611691999117
17,8.00701502282319,0.1,Cabral,36.4,6/12/23,LIGHT,NP,0.004923399563696524,0.00462521047298981
19,7.969552606728934,0.1,Cabral,37.1,6/13/23,LIGHT,NP,0.0012301637946070323,0.003118392299834996
1,7.996704635793248,0.1,Varari,37.3,6/17/23,LIGHT,NP,0.004567065275756062,0.004274898899505143
2,7.996704635793248,0.1,Varari,37.3,6/17/23,LIGHT,NP,0.0072745093355877696,0.0068090804646226515
3,7.996704635793248,0.1,Varari,37.3,6/17/23,LIGHT,NP,0.005737575144992809,0.005489091402800633
4,7.983888717167578,0.1,Varari,36.6,6/18/23,LIGHT,NP,0.002355817409120266,0.0022074532949676747
5,8.028865455729898,0.1,Varari,36.3,6/21/23,LIGHT,NP,0.00266849363727032,0.0020835382803921975
6,8.028865455729898,0.1,Varari,36.3,6/21/23,LIGHT,NP,0.006518623279925093,0.006115722969166916
7,8.036250693667167,0.1,Varari,36.5,6/22/23,LIGHT,NP,0.004663021311892695,0.0043855314926980905
8,8.036250693667167,0.1,Varari,36.5,6/22/23,LIGHT,NP,0.0033179887407632632,0.003067336408652987
13,7.992232149251834,0.5,Cabral,36.4,6/10/23,LIGHT,NP,0.004143477315958118,0.0038658207900897205
14,7.992232149251834,0.5,Cabral,36.4,6/10/23,LIGHT,NP,0.0028497675489736777,0.0027451923576790856
15,8.0099028783876,0.5,Cabral,36.3,6/11/23,LIGHT,NP,0.0027650253679088743,0.002559050171597899
16,8.0099028783876,0.5,Cabral,36.3,6/11/23,LIGHT,NP,0.0029352907735462294,0.00274528985384698
18,7.9775039029705335,0.5,Cabral,36.3,6/12/23,LIGHT,NP,0.003320224016837286,0.0031790530060205845
17,7.9775039029705335,0.5,Cabral,36.3,6/12/23,LIGHT,NP,0.004244483706289103,0.0040882815100283494
19,8.010428528647465,0.5,Cabral,36.8,6/13/23,LIGHT,NP,0.0016302744093078226,0.0028329966822811894
1,7.996255731191623,0.5,Varari,37.1,6/17/23,LIGHT,NP,0.0030732047733156706,0.002746691071634968
2,7.996255731191623,0.5,Varari,37.1,6/17/23,LIGHT,NP,0.004477072735207094,0.004232650274026837
3,7.996255731191623,0.5,Varari,37.1,6/17/23,LIGHT,NP,0.005279983733345901,0.00479942291872272
4,7.994600755984835,0.5,Varari,36.5,6/18/23,LIGHT,NP,0.0024393261395695884,0.0023426552935663955
5,8.007009687273362,0.5,Varari,36.2,6/21/23,LIGHT,NP,0.0028367931192848886,0.0026087253719922964
6,8.007009687273362,0.5,Varari,36.2,6/21/23,LIGHT,NP,0.005428865671536321,0.005003112359195659
7,8.052272677957419,0.5,Varari,36.3,6/22/23,LIGHT,NP,0.0039893826199371195,0.0035377513859168714
8,8.052272677957419,0.5,Varari,36.3,6/22/23,LIGHT,NP,0.0011026082439165538,9.81327131436e-4
13,7.9835816631813765,1,Cabral,36.1,6/10/23,LIGHT,NP,0.003682353014356938,0.003536390496085963
14,7.9835816631813765,1,Cabral,36.1,6/10/23,LIGHT,NP,0.0037213040186324076,0.003592441866241863
15,7.963967371080543,1,Cabral,36.2,6/11/23,LIGHT,NP,0.005719851379932357,0.00554246229540085
16,7.963967371080543,1,Cabral,36.2,6/11/23,LIGHT,NP,0.003673509543635422,0.0035351906122605696
18,7.982119028297145,1,Cabral,36.1,6/12/23,LIGHT,NP,0.003281668293119169,0.002991939503705321
17,7.982119028297145,1,Cabral,36.1,6/12/23,LIGHT,NP,0.0042263985925352,0.0036288344998604773
19,7.9902200167762345,1,Cabral,36.7,6/13/23,LIGHT,NP,6.612894045709525e-4,0.0036826845425688578
1,7.987516818068849,1,Varari,37,6/17/23,LIGHT,NP,0.004350964983103542,0.004185124432462743
2,7.987516818068849,1,Varari,37,6/17/23,LIGHT,NP,0.006429079261589974,0.005841658454820748
3,7.987516818068849,1,Varari,37,6/17/23,LIGHT,NP,0.003530952390205634,0.0031779587538578076
4,8.015414786189668,1,Varari,36.1,6/18/23,LIGHT,NP,0.003160191515000636,0.003008779249203499
5,8.0019728655792,1,Varari,36,6/21/23,LIGHT,NP,0.003546514397009807,0.0031754306092298423
6,8.0019728655792,1,Varari,36,6/21/23,LIGHT,NP,0.005087150964052224,0.004236288547212481
7,8.074193562764314,1,Varari,36,6/22/23,LIGHT,NP,0.004564844245904239,0.004182800120015008
8,8.074193562764314,1,Varari,36,6/22/23,LIGHT,NP,0,0
13,7.9983715794601515,2,Cabral,35.9,6/10/23,LIGHT,NP,0.0026986559985006046,0.0025082285159818292
14,7.9983715794601515,2,Cabral,35.9,6/10/23,LIGHT,NP,0.003743136636685558,0.003432729366976451
15,7.96548092133451,2,Cabral,35.9,6/11/23,LIGHT,NP,0,0
16,7.96548092133451,2,Cabral,35.9,6/11/23,LIGHT,NP,0.0036770090552730233,0.003525433281660504
18,7.991501771807972,2,Cabral,35.8,6/12/23,LIGHT,NP,0.003974408927096716,0.0037365174866419303
17,7.991501771807972,2,Cabral,35.8,6/12/23,LIGHT,NP,0.004023904305348407,0.0038021558225088295
19,7.984471028996761,2,Cabral,36.4,6/13/23,LIGHT,NP,1.5592265153622522e-4,0.002657753707797361
1,7.9938993004212815,2,Varari,36.6,6/17/23,LIGHT,NP,0.004316214120701213,0.00391903404223536
2,7.9938993004212815,2,Varari,36.6,6/17/23,LIGHT,NP,0.004594571691372219,0.004341993280411545
3,7.9938993004212815,2,Varari,36.6,6/17/23,LIGHT,NP,0.0061254365640868265,0.005892293610006152
4,7.98751158175539,2,Varari,36,6/18/23,LIGHT,NP,0.0026925002328905957,0.002491957034279914
5,8.019957012670806,2,Varari,35.9,6/21/23,LIGHT,NP,0.0032120996920856288,0.002567159399580648
6,8.019957012670806,2,Varari,35.9,6/21/23,LIGHT,NP,0.006396335338137939,0.00542361276437363
7,8.014719841172575,2,Varari,36,6/22/23,LIGHT,NP,0.0038242060870913564,0.0034872748015351484
8,8.014719841172575,2,Varari,36,6/22/23,LIGHT,NP,0.003273098585812201,0.002967695464118837
13,7.998366250418952,4,Cabral,35.2,6/10/23,LIGHT,NP,0.0029044902642405834,0.002717485649544794
14,7.998366250418952,4,Cabral,35.2,6/10/23,LIGHT,NP,0.004617919898695595,0.004488893417229863
15,7.995066861576932,4,Cabral,35.1,6/11/23,LIGHT,NP,0.0026795127808085678,0.0025341782702697512
16,7.995066861576932,4,Cabral,35.1,6/11/23,LIGHT,NP,0.0033044833879595104,0.0030899936058297298
18,8.004134507646036,4,Cabral,35.1,6/12/23,LIGHT,NP,0.004184252256136844,0.0038863357800042716
17,8.004134507646036,4,Cabral,35.1,6/12/23,LIGHT,NP,0.004892037373634756,0.0045699771008077235
19,7.969555313025303,4,Cabral,35.8,6/13/23,LIGHT,NP,0.0014999671736436744,0.003159912263582458
