SGD_number ,Site,Day,Colony,Parameter,Actual ,Predicted ,Notes 
4,Cabral,2,"15,16",Nitrate,1.31,0.8472,
0,Cabral,3,"17,18",Nitrate,0.23,0.23,
0.01,Cabral,3,"17,18",Nitrate,0.07,0.230799,
0.03,Cabral,3,"17,18",Nitrate,0.8,0.232397,
0.05,Cabral,3,"17,18",Nitrate,0.86,0.233995,
0.1,Cabral,3,"17,18",Nitrate,0.51,0.23799,
0.5,Cabral,3,"17,18",Nitrate,0.37,0.26995,
1,Cabral,3,"17,18",Nitrate,0.31,0.3099,
2,Cabral,3,"17,18",Nitrate,0.24,0.3898,
4,Cabral,3,"17,18",Nitrate,0.32,0.5496,
0,Cabral,1,"13,14",Phosphate,0.05,0.05,
0.01,Cabral,1,"13,14",Phosphate,0.05,0.050356,
0.03,Cabral,1,"13,14",Phosphate,0.04,0.051068,
0.05,Cabral,1,"13,14",Phosphate,0.05,0.05178,
0.1,Cabral,1,"13,14",Phosphate,0.06,0.05356,
0.5,Cabral,1,"13,14",Phosphate,0.13,0.0678,
1,Cabral,1,"13,14",Phosphate,0.09,0.0856,
2,Cabral,1,"13,14",Phosphate,0.09,0.1212,
4,Cabral,1,"13,14",Phosphate,0.12,0.1924,
0,Cabral,2,"15,16",Phosphate,0.03,0.03,
0.01,Cabral,2,"15,16",Phosphate,0.03,0.030358,
0.03,Cabral,2,"15,16",Phosphate,0.04,0.031074,
0.05,Cabral,2,"15,16",Phosphate,0.03,0.03179,
0.1,Cabral,2,"15,16",Phosphate,0.03,0.03358,
0.5,Cabral,2,"15,16",Phosphate,0.04,0.0479,
1,Cabral,2,"15,16",Phosphate,0.05,0.0658,
2,Cabral,2,"15,16",Phosphate,0.06,0.1016,
4,Cabral,2,"15,16",Phosphate,0.06,0.1732,
0,Cabral,3,"17,18",Phosphate,0.03,0.03,
0.01,Cabral,3,"17,18",Phosphate,0.03,0.030358,
0.03,Cabral,3,"17,18",Phosphate,0.07,0.031074,
0.05,Cabral,3,"17,18",Phosphate,0.04,0.03179,
0.1,Cabral,3,"17,18",Phosphate,0.04,0.03358,
0.5,Cabral,3,"17,18",Phosphate,0.04,0.0479,
1,Cabral,3,"17,18",Phosphate,0.06,0.0658,
2,Cabral,3,"17,18",Phosphate,0.04,0.1016,
4,Cabral,3,"17,18",Phosphate,0.07,0.1732,
