Fragment_Type,Site ,Colony_Number ,Fragment_Number,Dilution_percentSGD,Person_Measuring,Weight_before_wax,Weight_after_wax
Post_exp,Varari ,1,7,1,Hannah ,23.3229,25.6041
Post_exp,Varari ,1,8,2,Hannah ,18.0429,19.0915
Post_exp,Varari ,1,9,4,Hannah ,22.3262,23.8442
Post_exp,Varari ,2,1,0,Hannah ,16.4294,17.479
Post_exp,Varari ,2,2,0.01,Hannah ,13.9719,15.1769
Post_exp,Varari ,2,3,0.03,Hannah ,17.0568,18.1138
Post_exp,Varari ,2,4,0.05,Hannah ,24.4993,26.0104
Post_exp,Varari ,2,5,0.1,Hannah ,17.1579,18.1095
Post_exp,Varari ,2,6,0.5,Hannah ,22.2006,23.9174
Post_exp,Varari ,2,7,1,Hannah ,12.5407,13.1637
Post_exp,Varari ,2,8,2,Hannah ,23.876,25.5417
Post_exp,Varari ,2,9,4,Hannah ,17.4408,18.5684
Post_exp,Varari ,3,1,0,Hannah ,21.6406,23.3156
Post_exp,Varari ,3,2,0.01,Hannah ,27.1727,29.679
Post_exp,Varari ,3,3,0.03,Hannah ,16.6391,17.7901
Post_exp,Varari ,3,4,0.05,Hannah ,25.2192,27.0464
Post_exp,Varari ,3,5,0.1,Hannah ,23.7116,25.5196
Post_exp,Varari ,3,6,0.5,Hannah ,15.7236,16.5824
Post_exp,Varari ,3,7,1,Hannah ,18.3135,19.3697
Post_exp,Varari ,3,8,2,Hannah ,20.506,22.313
Post_exp,Varari ,3,9,4,Hannah ,19.2976,21.0014
Post_exp,Varari ,4,1,0,Hannah ,26.6907,28.5889
Post_exp,Varari ,4,2,0.01,Hannah ,36.2514,39.2188
Post_exp,Varari ,4,3,0.03,Hannah ,33.4728,35.8719
Post_exp,Varari ,4,4,0.05,Hannah ,NA,NA
Post_exp,Varari ,4,5,0.1,Hannah ,24.1897,25.5439
Post_exp,Varari ,4,6,0.5,Hannah ,18.901,20.6208
Post_exp,Varari ,4,7,1,Hannah ,21.491,22.8616
Post_exp,Varari ,4,8,2,Hannah ,20.6091,22.1717
Post_exp,Varari ,4,9,4,Hannah ,29.938,32.2815
Post_exp,Varari ,5,1,0,Hannah ,16.1931,17.1887
Post_exp,Varari ,5,2,0.01,Hannah ,16.9069,18.0629
Post_exp,Varari ,5,3,0.03,Hannah ,19.424,20.7268
Post_exp,Varari ,5,4,0.05,Hannah ,20.1844,21.506
Post_exp,Varari ,5,5,0.1,Hannah ,19.9081,21.2945
Post_exp,Varari ,5,6,0.5,Hannah ,30.8928,33.2948
Post_exp,Varari ,5,7,1,Hannah ,26.7096,28.8056
Post_exp,Varari ,5,8,2,Hannah ,22.3494,24.1787
Post_exp,Varari ,5,9,4,Hannah ,18.6488,20.0023
Post_exp,Varari ,6,1,0,Hannah ,18.3149,19.6735
