new_colonynumber,pH,sample_ID,SGD_number,site,salinity,date,light_dark,P_R,umol.cm2.hr,umol.cm2.hr_uncorr,phosphate_umolL,silicate_umolL,NN_umolL,ammonia_umolL
7,8.1,Varari_Col7_Dil3_Dark,0.03,Varari,36.4,6/22/23,DARK,R,0.2211134431884029,0.24570021433956268,0.11,2.39,0.83,1.67
8,8.1,Varari_Col8_Dil3_Dark,0.03,Varari,36.4,6/22/23,DARK,R,0.20593446683419186,0.22336470556603033,0.11,2.39,0.83,1.67
13,8.06,Cabral_Col5_Dil4_Dark,0.05,Cabral,36.5,6/10/23,DARK,R,0.3134957344420478,0.32915626179108437,0.05,3.13,3.25,0.76
14,8.06,Cabral_Col6_Dil4_Dark,0.05,Cabral,36.5,6/10/23,DARK,R,0.37545879266920085,0.40020952019754924,0.05,3.13,3.25,0.76
15,8.06,Cabral_Col7_Dil4_Dark,0.05,Cabral,36.5,6/11/23,DARK,R,0.3460177364762045,0.36626738410331283,0.03,3.79,0.14,0.86
16,8.06,Cabral_Col8_Dil4_Dark,0.05,Cabral,36.5,6/11/23,DARK,R,0.3815493991557245,0.3957054943826023,0.03,3.79,0.14,0.86
18,8.09,Cabral_Col10_Dil4_Dark,0.05,Cabral,36.6,6/12/23,DARK,R,0.32321251756499897,0.3536304920078096,0.04,4.14,0.86,2.16
17,8.09,Cabral_Col9_Dil4_Dark,0.05,Cabral,36.6,6/12/23,DARK,R,0.30651046949360333,0.36392518889707853,0.04,4.14,0.86,2.16
1,8.06,Varari_Col1_Dil4_Dark,0.05,Varari,37.3,6/17/23,DARK,R,0.4091955358856986,0.4353698869819123,0.08,4.82,1.87,3.32
2,8.06,Varari_Col2_Dil4_Dark,0.05,Varari,37.3,6/17/23,DARK,R,0.3517307623357659,0.3818914173219097,0.08,4.82,1.87,3.32
3,8.06,Varari_Col3_Dil4_Dark,0.05,Varari,37.3,6/17/23,DARK,R,0.31055536573100034,0.335580668219623,0.08,4.82,1.87,3.32
4,8.06,Varari_Col4_Dil4_Dark,0.05,Varari,36.5,6/18/23,DARK,R,Inf,Inf,0.06,2.89,1.63,0.79
5,8.11,Varari_Col5_Dil4_Dark,0.05,Varari,36.3,6/21/23,DARK,R,0.29539506241799746,0.393419784806263,0.04,1.86,0.28,0.22
6,8.11,Varari_Col6_Dil4_Dark,0.05,Varari,36.3,6/21/23,DARK,R,0.4062934098090356,0.5288152446011192,0.04,1.86,0.28,0.22
7,8.1,Varari_Col7_Dil4_Dark,0.05,Varari,36.4,6/22/23,DARK,R,0.2647747592569835,0.3062129803844296,0.06,2.24,0.47,2.25
8,8.1,Varari_Col8_Dil4_Dark,0.05,Varari,36.4,6/22/23,DARK,R,0.2749268438337668,0.31606201482765583,0.06,2.24,0.47,2.25
13,8.07,Cabral_Col5_Dil5_Dark,0.1,Cabral,36.5,6/10/23,DARK,R,0.46844826022504193,0.4836089497464543,0.06,5.23,0.17,0.43
14,8.07,Cabral_Col6_Dil5_Dark,0.1,Cabral,36.5,6/10/23,DARK,R,0.33946854972700985,0.3477619287162762,0.06,5.23,0.17,0.43
15,8.06,Cabral_Col7_Dil5_Dark,0.1,Cabral,36.5,6/11/23,DARK,R,0.39652463683112965,0.41341928158980046,0.03,4.33,0.45,0.95
16,8.06,Cabral_Col8_Dil5_Dark,0.1,Cabral,36.5,6/11/23,DARK,R,0.40961631223390255,0.4294889973150282,0.03,4.33,0.45,0.95
18,8.1,Cabral_Col10_Dil5_Dark,0.1,Cabral,36.4,6/12/23,DARK,R,0.32574462656086905,0.35137801966550736,0.04,3.67,0.51,12.78
17,8.1,Cabral_Col9_Dil5_Dark,0.1,Cabral,36.4,6/12/23,DARK,R,0.27275157956740215,0.29531285420725806,0.04,3.67,0.51,12.78
1,8.07,Varari_Col1_Dil5_Dark,0.1,Varari,37.3,6/17/23,DARK,R,0.38236477050956796,0.40880783387323666,0.05,5.27,2.5,6.31
2,8.07,Varari_Col2_Dil5_Dark,0.1,Varari,37.3,6/17/23,DARK,R,0.3453481858444735,0.3874726978766982,0.05,5.27,2.5,6.31
3,8.07,Varari_Col3_Dil5_Dark,0.1,Varari,37.3,6/17/23,DARK,R,0.3162611318945671,0.3387506174357206,0.05,5.27,2.5,6.31
4,8.07,Varari_Col4_Dil5_Dark,0.1,Varari,36.6,6/18/23,DARK,R,0.49408093300479916,0.5089699561449673,0.03,3.33,3.14,4.89
5,8.12,Varari_Col5_Dil5_Dark,0.1,Varari,36.3,6/21/23,DARK,R,0.29790192110407154,0.34429863438386205,0.27,2.63,1.32,9.69
6,8.12,Varari_Col6_Dil5_Dark,0.1,Varari,36.3,6/21/23,DARK,R,0.2980116824879761,0.3299683938732756,0.27,2.63,1.32,9.69
7,8.11,Varari_Col7_Dil5_Dark,0.1,Varari,36.5,6/22/23,DARK,R,0.2962150366926231,0.3212874951152281,0.05,2.68,0.7,3.11
8,8.11,Varari_Col8_Dil5_Dark,0.1,Varari,36.5,6/22/23,DARK,R,0.2574447216254746,0.2800922927457787,0.05,2.68,0.7,3.11
13,8.07,Cabral_Col5_Dil6_Dark,0.5,Cabral,36.4,6/10/23,DARK,R,0.3832337564267067,0.39652749329489617,0.13,6.59,0.4,2
14,8.07,Cabral_Col6_Dil6_Dark,0.5,Cabral,36.4,6/10/23,DARK,R,0.30468983410960404,0.3096967219241905,0.13,6.59,0.4,2
15,8.09,Cabral_Col7_Dil6_Dark,0.5,Cabral,36.3,6/11/23,DARK,R,0.3229126624645419,0.3469341593624562,0.04,6.59,0.6,8.48
16,8.09,Cabral_Col8_Dil6_Dark,0.5,Cabral,36.3,6/11/23,DARK,R,0.3817997880300324,0.40395831471013444,0.04,6.59,0.6,8.48
18,8.07,Cabral_Col10_Dil6_Dark,0.5,Cabral,36.3,6/12/23,DARK,R,0.2737800010077637,0.2797312126499883,0.04,6.04,0.37,2.01
17,8.07,Cabral_Col9_Dil6_Dark,0.5,Cabral,36.3,6/12/23,DARK,R,0.2709208796520268,0.2775057465643348,0.04,6.04,0.37,2.01
1,8.07,Varari_Col1_Dil6_Dark,0.5,Varari,37.1,6/17/23,DARK,R,0.2809810201871565,0.31691637827223545,0.05,7.07,2.23,4.4
2,8.07,Varari_Col2_Dil6_Dark,0.5,Varari,37.1,6/17/23,DARK,R,0.24789261231228946,0.27479319202845337,0.05,7.07,2.23,4.4
3,8.07,Varari_Col3_Dil6_Dark,0.5,Varari,37.1,6/17/23,DARK,R,0.2855133596525224,0.3384027881073705,0.05,7.07,2.23,4.4
4,8.08,Varari_Col4_Dil6_Dark,0.5,Varari,36.5,6/18/23,DARK,R,0.3187558733635713,0.3266824366853992,0.02,4.82,2.84,1.24
5,8.09,Varari_Col5_Dil6_Dark,0.5,Varari,36.2,6/21/23,DARK,R,0.2586232974328773,0.2793538311307806,0.05,4.94,0.29,5.38
6,8.09,Varari_Col6_Dil6_Dark,0.5,Varari,36.2,6/21/23,DARK,R,0.256234930498913,0.29493436978012727,0.05,4.94,0.29,5.38
7,8.12,Varari_Col7_Dil6_Dark,0.5,Varari,36.3,6/22/23,DARK,R,0.18943098356980578,0.23224756521451614,0.08,5.11,0.76,2.35
8,8.12,Varari_Col8_Dil6_Dark,0.5,Varari,36.3,6/22/23,DARK,R,0.07519531589030896,0.0866932871766105,0.08,5.11,0.76,2.35
13,8.06,Cabral_Col5_Dil7_Dark,1,Cabral,36.1,6/10/23,DARK,R,0.44537755548765323,0.4541339310783213,0.09,8.39,0.06,0.31
14,8.06,Cabral_Col6_Dil7_Dark,1,Cabral,36.1,6/10/23,DARK,R,0.3386362680069621,0.34636678211756716,0.09,8.39,0.06,0.31
15,8.05,Cabral_Col7_Dil7_Dark,1,Cabral,36.2,6/11/23,DARK,R,0.33852873902225344,0.35581878412157736,0.05,9.41,0.46,10.63
16,8.05,Cabral_Col8_Dil7_Dark,1,Cabral,36.2,6/11/23,DARK,R,0.3417167776169904,0.35519866872680605,0.05,9.41,0.46,10.63
18,8.08,Cabral_Col10_Dil7_Dark,1,Cabral,36.1,6/12/23,DARK,R,0.18628176431785437,0.21616810695661787,0.06,9.83,0.31,0.96
17,8.08,Cabral_Col9_Dil7_Dark,1,Cabral,36.1,6/12/23,DARK,R,0.2040774141026195,0.2657178416116354,0.06,9.83,0.31,0.96
1,8.06,Varari_Col1_Dil7_Dark,1,Varari,37,6/17/23,DARK,R,0.3493207957383515,0.3604535410134228,0.07,10.06,2.58,1.99
2,8.06,Varari_Col2_Dil7_Dark,1,Varari,37,6/17/23,DARK,R,0.28558195344994175,0.32501504610661097,0.07,10.06,2.58,1.99
3,8.06,Varari_Col3_Dil7_Dark,1,Varari,37,6/17/23,DARK,R,0.2897316051908125,0.31342778837232005,0.07,10.06,2.58,1.99
4,8.1,Varari_Col4_Dil7_Dark,1,Varari,36.1,6/18/23,DARK,R,0.4280889476115811,0.4340673447246236,0.04,8.07,1.08,0.48
5,8.09,Varari_Col5_Dil7_Dark,1,Varari,36,6/21/23,DARK,R,0.31065202882342274,0.34139018302645546,0.2,5.55,3.05,15.29
6,8.09,Varari_Col6_Dil7_Dark,1,Varari,36,6/21/23,DARK,R,0.15929309816093537,0.2297729798813826,0.2,5.55,3.05,15.29
7,8.15,Varari_Col7_Dil7_Dark,1,Varari,36,6/22/23,DARK,R,0.2171472054907707,0.25836533669514106,0.08,6.75,0.86,0.98
8,8.15,Varari_Col8_Dil7_Dark,1,Varari,36,6/22/23,DARK,R,Inf,Inf,0.08,6.75,0.86,0.98
13,8.07,Cabral_Col5_Dil8_Dark,2,Cabral,35.9,6/10/23,DARK,R,0.3749274683740264,0.39003673014028784,0.09,15.42,0.24,0.88
14,8.07,Cabral_Col6_Dil8_Dark,2,Cabral,35.9,6/10/23,DARK,R,0.44593890877191583,0.4705678377107501,0.09,15.42,0.24,0.88
15,8.05,Cabral_Col7_Dil8_Dark,2,Cabral,35.9,6/11/23,DARK,R,Inf,Inf,0.06,13.9,0.17,23.37
16,8.05,Cabral_Col8_Dil8_Dark,2,Cabral,35.9,6/11/23,DARK,R,0.439373367601629,0.44887613354495265,0.06,13.9,0.17,23.37
18,8.08,Cabral_Col10_Dil8_Dark,2,Cabral,35.8,6/12/23,DARK,R,0.328103793173952,0.339128425291826,0.04,15.57,0.24,2.42
17,8.08,Cabral_Col9_Dil8_Dark,2,Cabral,35.8,6/12/23,DARK,R,0.3364456218972866,0.3467221395200114,0.04,15.57,0.24,2.42
1,8.06,Varari_Col1_Dil8_Dark,2,Varari,36.6,6/17/23,DARK,R,0.3844454297736319,0.43345051159854675,0.09,13.55,2.78,3.81
2,8.06,Varari_Col2_Dil8_Dark,2,Varari,36.6,6/17/23,DARK,R,0.3630997199562361,0.39426348538606715,0.09,13.55,2.78,3.81
3,8.06,Varari_Col3_Dil8_Dark,2,Varari,36.6,6/17/23,DARK,R,0.2500762588459261,0.2788420297793671,0.09,13.55,2.78,3.81
4,8.07,Varari_Col4_Dil8_Dark,2,Varari,36,6/18/23,DARK,R,0.49780535541796644,0.5143583746504613,0.07,13.59,3.54,1.73
5,8.1,Varari_Col5_Dil8_Dark,2,Varari,35.9,6/21/23,DARK,R,0.2984429080330178,0.3624556604009588,0.07,9.9,1.02,5.44
6,8.1,Varari_Col6_Dil8_Dark,2,Varari,35.9,6/21/23,DARK,R,0.25678749149737656,0.35333386863258964,0.07,9.9,1.02,5.44
7,8.08,Varari_Col7_Dil8_Dark,2,Varari,36,6/22/23,DARK,R,0.2529892512081215,0.28845065987623564,0.09,11.23,1.13,1.51
8,8.08,Varari_Col8_Dil8_Dark,2,Varari,36,6/22/23,DARK,R,0.1884444419289238,0.2205875697593175,0.09,11.23,1.13,1.51
13,8.08,Cabral_Col5_Dil9_Dark,4,Cabral,35.2,6/10/23,DARK,R,0.46570189348240265,0.4982633940755584,0.12,24.72,0.04,0.39
14,8.08,Cabral_Col6_Dil9_Dark,4,Cabral,35.2,6/10/23,DARK,R,0.504670591931134,0.5271368616979418,0.12,24.72,0.04,0.39
15,8.08,Cabral_Col7_Dil9_Dark,4,Cabral,35.1,6/11/23,DARK,R,0.3025553620237051,0.31240334547768656,0.06,23.61,1.31,18.74
16,8.08,Cabral_Col8_Dil9_Dark,4,Cabral,35.1,6/11/23,DARK,R,0.3496966188645087,0.3642306199923502,0.06,23.61,1.31,18.74
18,8.1,Cabral_Col10_Dil9_Dark,4,Cabral,35.1,6/12/23,DARK,R,0.2806209534885239,0.2927372775778265,0.07,25.7,0.32,1.99
17,8.1,Cabral_Col9_Dil9_Dark,4,Cabral,35.1,6/12/23,DARK,R,0.28265429737293685,0.29575255463932376,0.07,25.7,0.32,1.99
1,8.03,Varari_Col1_Dil9_Dark,4,Varari,35.9,6/17/23,DARK,R,0.3188570015064876,0.3618711366582469,0.13,22.86,3.21,5.31
2,8.03,Varari_Col2_Dil9_Dark,4,Varari,35.9,6/17/23,DARK,R,0.3069604300664419,0.3644898345983149,0.13,22.86,3.21,5.31
3,8.03,Varari_Col3_Dil9_Dark,4,Varari,35.9,6/17/23,DARK,R,0.22632955888288434,0.2647322859368357,0.13,22.86,3.21,5.31
4,8.06,Varari_Col4_Dil9_Dark,4,Varari,35.3,6/18/23,DARK,R,0.3465012995892335,0.3655340450516767,1.07,18.09,4.47,22.62
5,8.11,Varari_Col5_Dil9_Dark,4,Varari,35,6/21/23,DARK,R,0.2742864154539049,0.3318574038173214,0.07,19.77,3.24,3.75
6,8.11,Varari_Col6_Dil9_Dark,4,Varari,35,6/21/23,DARK,R,0.2601093440205227,0.30159405291545116,0.07,19.77,3.24,3.75
7,8.06,Varari_Col7_Dil9_Dark,4,Varari,35.2,6/22/23,DARK,R,0.2188076236534075,0.2506827762530715,0.12,21.43,2.05,9.87
8,8.06,Varari_Col8_Dil9_Dark,4,Varari,35.2,6/22/23,DARK,R,0.2961880244353371,0.33862541628684506,0.12,21.43,2.05,9.87
1,NA,NA,0,Varari,NA,6/17/23,LIGHT,GP,0.7412567823869332,0.7554556843112846,NA,NA,NA,NA
1,NA,NA,0.01,Varari,NA,6/17/23,LIGHT,GP,0.8286399019912782,0.8358305603018353,NA,NA,NA,NA
1,NA,NA,0.03,Varari,NA,6/17/23,LIGHT,GP,0.5173557897201293,0.5203728338002191,NA,NA,NA,NA
1,NA,NA,0.05,Varari,NA,6/17/23,LIGHT,GP,0.8867327825054433,0.8864165116529428,NA,NA,NA,NA
1,NA,NA,0.1,Varari,NA,6/17/23,LIGHT,GP,0.8208030190248685,0.8191981114172204,NA,NA,NA,NA
1,NA,NA,0.5,Varari,NA,6/17/23,LIGHT,GP,0.5760087000937779,0.5805987405153517,NA,NA,NA,NA
1,NA,NA,1,Varari,NA,6/17/23,LIGHT,GP,0.7670134399012578,0.7622254920943137,NA,NA,NA,NA
1,NA,NA,2,Varari,NA,6/17/23,LIGHT,GP,0.7988019484575011,0.8096777461455669,NA,NA,NA,NA
1,NA,NA,4,Varari,NA,6/17/23,LIGHT,GP,0.7069670753535975,0.7061479987573913,NA,NA,NA,NA
13,NA,NA,0,Cabral,NA,6/10/23,LIGHT,GP,0.813739547360897,0.8036152392260528,NA,NA,NA,NA
13,NA,NA,0.01,Cabral,NA,6/10/23,LIGHT,GP,0.8358521000383725,0.8325251368174803,NA,NA,NA,NA
13,NA,NA,0.03,Cabral,NA,6/10/23,LIGHT,GP,0.723256219173279,0.7187616467871423,NA,NA,NA,NA
13,NA,NA,0.05,Cabral,NA,6/10/23,LIGHT,GP,0.6570177141886275,0.6547497673606397,NA,NA,NA,NA
13,NA,NA,0.1,Cabral,NA,6/10/23,LIGHT,GP,0.8914098778888582,0.8861694482807847,NA,NA,NA,NA
13,NA,NA,0.5,Cabral,NA,6/10/23,LIGHT,GP,0.781007578758686,0.7676462891435094,NA,NA,NA,NA
13,NA,NA,1,Cabral,NA,6/10/23,LIGHT,GP,0.798883464319383,0.7936274373849335,NA,NA,NA,NA
13,NA,NA,2,Cabral,NA,6/10/23,LIGHT,GP,0.6339984442300844,0.6308266676745434,NA,NA,NA,NA
13,NA,NA,4,Cabral,NA,6/10/23,LIGHT,GP,0.744532941022139,0.7591419997523075,NA,NA,NA,NA
14,NA,NA,0,Cabral,NA,6/10/23,LIGHT,GP,0.9247486532276026,0.9121890036544577,NA,NA,NA,NA
14,NA,NA,0.01,Cabral,NA,6/10/23,LIGHT,GP,0.9751048207589506,0.9726190273684289,NA,NA,NA,NA
14,NA,NA,0.03,Cabral,NA,6/10/23,LIGHT,GP,0.6947904416779918,0.6918530420377076,NA,NA,NA,NA
14,NA,NA,0.05,Cabral,NA,6/10/23,LIGHT,GP,0.8477420258251546,0.8441576424428312,NA,NA,NA,NA
14,NA,NA,0.1,Cabral,NA,6/10/23,LIGHT,GP,0.8152317744437746,0.8123650929023485,NA,NA,NA,NA
14,NA,NA,0.5,Cabral,NA,6/10/23,LIGHT,GP,0.5782675188110771,0.5732351882613826,NA,NA,NA,NA
14,NA,NA,1,Cabral,NA,6/10/23,LIGHT,GP,0.6958814422249794,0.6912411901067648,NA,NA,NA,NA
14,NA,NA,2,Cabral,NA,6/10/23,LIGHT,GP,0.8052800444943705,0.8001098739986343,NA,NA,NA,NA
14,NA,NA,4,Cabral,NA,6/10/23,LIGHT,GP,0.9479909022059111,0.9580706297520087,NA,NA,NA,NA
15,NA,NA,0,Cabral,NA,6/11/23,LIGHT,GP,0.9152854609263962,0.9100188747257514,NA,NA,NA,NA
15,NA,NA,0.01,Cabral,NA,6/11/23,LIGHT,GP,0.7135277192548599,0.7087347351758919,NA,NA,NA,NA
15,NA,NA,0.03,Cabral,NA,6/11/23,LIGHT,GP,0.6909497765220778,0.6877693767376185,NA,NA,NA,NA
15,NA,NA,0.05,Cabral,NA,6/11/23,LIGHT,GP,0.6749759286025636,0.6722341228847628,NA,NA,NA,NA
15,NA,NA,0.1,Cabral,NA,6/11/23,LIGHT,GP,0.8538088230053985,0.8547911330352818,NA,NA,NA,NA
15,NA,NA,0.5,Cabral,NA,6/11/23,LIGHT,GP,0.5883550826696347,0.5926029618475952,NA,NA,NA,NA
15,NA,NA,1,Cabral,NA,6/11/23,LIGHT,GP,0.8876344968769301,0.887895189074086,NA,NA,NA,NA
15,NA,NA,2,Cabral,NA,6/11/23,LIGHT,GP,Inf,Inf,NA,NA,NA,NA
15,NA,NA,4,Cabral,NA,6/11/23,LIGHT,GP,0.5597885889813277,0.5556844594235827,NA,NA,NA,NA
16,NA,NA,0,Cabral,NA,6/11/23,LIGHT,GP,0.7674471883924894,0.7638956721608737,NA,NA,NA,NA
16,NA,NA,0.01,Cabral,NA,6/11/23,LIGHT,GP,0.7938908547731103,0.7908392609111937,NA,NA,NA,NA
16,NA,NA,0.03,Cabral,NA,6/11/23,LIGHT,GP,0.5742374071127876,0.5716856626119791,NA,NA,NA,NA
16,NA,NA,0.05,Cabral,NA,6/11/23,LIGHT,GP,0.834363084757862,0.8324463470669392,NA,NA,NA,NA
16,NA,NA,0.1,Cabral,NA,6/11/23,LIGHT,GP,0.7780729877901753,0.7792284508469456,NA,NA,NA,NA
16,NA,NA,0.5,Cabral,NA,6/11/23,LIGHT,GP,0.6635877096907277,0.6675061476006843,NA,NA,NA,NA
16,NA,NA,1,Cabral,NA,6/11/23,LIGHT,GP,0.6943736747402354,0.6945769491559495,NA,NA,NA,NA
16,NA,NA,2,Cabral,NA,6/11/23,LIGHT,GP,0.7923662456042532,0.7873177369222866,NA,NA,NA,NA
16,NA,NA,4,Cabral,NA,6/11/23,LIGHT,GP,0.6669270413230927,0.660870022249106,NA,NA,NA,NA
17,NA,NA,0,Cabral,NA,6/12/23,LIGHT,GP,0.7687972630406578,0.7645468207894301,NA,NA,NA,NA
17,NA,NA,0.01,Cabral,NA,6/12/23,LIGHT,GP,0.8902896930166799,0.8769523688730603,NA,NA,NA,NA
17,NA,NA,0.03,Cabral,NA,6/12/23,LIGHT,GP,0.9309403628955706,0.9276144047811219,NA,NA,NA,NA
17,NA,NA,0.05,Cabral,NA,6/12/23,LIGHT,GP,0.987254978557375,0.9760835570148607,NA,NA,NA,NA
17,NA,NA,0.1,Cabral,NA,6/12/23,LIGHT,GP,0.7453979453306546,0.7393330667994362,NA,NA,NA,NA
17,NA,NA,0.5,Cabral,NA,6/12/23,LIGHT,GP,0.678391321331081,0.6699807771861385,NA,NA,NA,NA
17,NA,NA,1,Cabral,NA,6/12/23,LIGHT,GP,0.6098117120144839,0.6140859819568789,NA,NA,NA,NA
17,NA,NA,2,Cabral,NA,6/12/23,LIGHT,GP,0.7227404419483117,0.7117291048471439,NA,NA,NA,NA
17,NA,NA,4,Cabral,NA,6/12/23,LIGHT,GP,0.7522898955458427,0.7344703659424874,NA,NA,NA,NA
18,NA,NA,0,Cabral,NA,6/12/23,LIGHT,GP,0.8472962041502905,0.8429992045215708,NA,NA,NA,NA
18,NA,NA,0.01,Cabral,NA,6/12/23,LIGHT,GP,0.9137744715977445,0.90298563827042,NA,NA,NA,NA
18,NA,NA,0.03,Cabral,NA,6/12/23,LIGHT,GP,0.47377248958652596,0.47152328373346686,NA,NA,NA,NA
18,NA,NA,0.05,Cabral,NA,6/12/23,LIGHT,GP,0.7035396336416377,0.6976210814219175,NA,NA,NA,NA
18,NA,NA,0.1,Cabral,NA,6/12/23,LIGHT,GP,0.849079470639712,0.8421887511212338,NA,NA,NA,NA
18,NA,NA,0.5,Cabral,NA,6/12/23,LIGHT,GP,0.5925215149314639,0.5849203091820702,NA,NA,NA,NA
18,NA,NA,1,Cabral,NA,6/12/23,LIGHT,GP,0.5013219246020486,0.5033943030911546,NA,NA,NA,NA
18,NA,NA,2,Cabral,NA,6/12/23,LIGHT,GP,0.7096470358969257,0.69783409058578,NA,NA,NA,NA
18,NA,NA,4,Cabral,NA,6/12/23,LIGHT,GP,0.682309178230146,0.6658255200302692,NA,NA,NA,NA
2,NA,NA,0,Varari,NA,6/17/23,LIGHT,GP,0.9123681506480616,0.9263130538205576,NA,NA,NA,NA
2,NA,NA,0.01,Varari,NA,6/17/23,LIGHT,GP,0.7422455445778,0.7502599561076314,NA,NA,NA,NA
2,NA,NA,0.03,Varari,NA,6/17/23,LIGHT,GP,0.6278983639708209,0.6331650678952497,NA,NA,NA,NA
2,NA,NA,0.05,Varari,NA,6/17/23,LIGHT,GP,1.0419749568323888,1.0416105185305806,NA,NA,NA,NA
2,NA,NA,0.1,Varari,NA,6/17/23,LIGHT,GP,1.0437011048433373,1.0411444438052722,NA,NA,NA,NA
2,NA,NA,0.5,Varari,NA,6/17/23,LIGHT,GP,0.6776915870154353,0.6811276108883191,NA,NA,NA,NA
2,NA,NA,1,Varari,NA,6/17/23,LIGHT,GP,0.9027735322848995,0.8858142302581751,NA,NA,NA,NA
2,NA,NA,2,Varari,NA,6/17/23,LIGHT,GP,0.8041786023279691,0.8110948403055755,NA,NA,NA,NA
2,NA,NA,4,Varari,NA,6/17/23,LIGHT,GP,0.97017597631426,0.9690804994743913,NA,NA,NA,NA
3,NA,NA,0,Varari,NA,6/17/23,LIGHT,GP,0.8776770714751101,0.886504833976769,NA,NA,NA,NA
3,NA,NA,0.01,Varari,NA,6/17/23,LIGHT,GP,0.768322748676784,0.7722240692351261,NA,NA,NA,NA
3,NA,NA,0.03,Varari,NA,6/17/23,LIGHT,GP,0.4798869827034523,0.48473424257263675,NA,NA,NA,NA
3,NA,NA,0.05,Varari,NA,6/17/23,LIGHT,GP,0.6673105974767731,0.667008210849381,NA,NA,NA,NA
3,NA,NA,0.1,Varari,NA,6/17/23,LIGHT,GP,0.8670683362205438,0.865703382926718,NA,NA,NA,NA
3,NA,NA,0.5,Varari,NA,6/17/23,LIGHT,GP,0.7923917797898965,0.7991473717032127,NA,NA,NA,NA
3,NA,NA,1,Varari,NA,6/17/23,LIGHT,GP,0.6287030246578444,0.6185118197489441,NA,NA,NA,NA
3,NA,NA,2,Varari,NA,6/17/23,LIGHT,GP,0.8381181997405293,0.8445022459121304,NA,NA,NA,NA
3,NA,NA,4,Varari,NA,6/17/23,LIGHT,GP,0.7138124040985775,0.7130811380891737,NA,NA,NA,NA
4,NA,NA,0,Varari,NA,6/18/23,LIGHT,GP,0.6393936262670766,0.6451157353459125,NA,NA,NA,NA
4,NA,NA,0.01,Varari,NA,6/18/23,LIGHT,GP,0.7648370516024381,0.7623219591076219,NA,NA,NA,NA
4,NA,NA,0.03,Varari,NA,6/18/23,LIGHT,GP,0.4563582058770669,0.4588685553541541,NA,NA,NA,NA
4,NA,NA,0.05,Varari,NA,6/18/23,LIGHT,GP,Inf,Inf,NA,NA,NA,NA
4,NA,NA,0.1,Varari,NA,6/18/23,LIGHT,GP,0.7202394095113323,0.7208854773634157,NA,NA,NA,NA
4,NA,NA,0.5,Varari,NA,6/18/23,LIGHT,GP,0.5529311784779858,0.5515773407532931,NA,NA,NA,NA
4,NA,NA,1,Varari,NA,6/18/23,LIGHT,GP,0.7314673261167839,0.7229101460455667,NA,NA,NA,NA
4,NA,NA,2,Varari,NA,6/18/23,LIGHT,GP,0.756285372579559,0.7535862451324306,NA,NA,NA,NA
4,NA,NA,4,Varari,NA,6/18/23,LIGHT,GP,0.662890512571948,0.6614003666673128,NA,NA,NA,NA
5,NA,NA,0.01,Varari,NA,6/21/23,LIGHT,GP,0.6503085829057185,0.6439420730807752,NA,NA,NA,NA
5,NA,NA,0.03,Varari,NA,6/21/23,LIGHT,GP,0.6187859164676922,0.616234839721031,NA,NA,NA,NA
5,NA,NA,0.05,Varari,NA,6/21/23,LIGHT,GP,0.7644947565872013,0.7799922125597353,NA,NA,NA,NA
5,NA,NA,0.1,Varari,NA,6/21/23,LIGHT,GP,0.5540773276535269,0.5443183228650434,NA,NA,NA,NA
5,NA,NA,0.5,Varari,NA,6/21/23,LIGHT,GP,0.5309554332998774,0.5297914635458603,NA,NA,NA,NA
5,NA,NA,1,Varari,NA,6/21/23,LIGHT,GP,0.6511174058100799,0.6462315169226165,NA,NA,NA,NA
5,NA,NA,2,Varari,NA,6/21/23,LIGHT,GP,0.6068044890915214,0.608902971246996,NA,NA,NA,NA
5,NA,NA,4,Varari,NA,6/21/23,LIGHT,GP,0.667016749547396,0.6732655609887817,NA,NA,NA,NA
6,NA,NA,0,Varari,NA,6/21/23,LIGHT,GP,1.0670753583387649,1.0559083183208966,NA,NA,NA,NA
6,NA,NA,0.01,Varari,NA,6/21/23,LIGHT,GP,1.0528388191498785,1.0452736820966724,NA,NA,NA,NA
6,NA,NA,0.03,Varari,NA,6/21/23,LIGHT,GP,0.7524340239126881,0.7497842857750764,NA,NA,NA,NA
6,NA,NA,0.05,Varari,NA,6/21/23,LIGHT,GP,1.4009435718369778,1.4203139581446638,NA,NA,NA,NA
6,NA,NA,0.1,Varari,NA,6/21/23,LIGHT,GP,0.923799536846249,0.9170778171944142,NA,NA,NA,NA
6,NA,NA,0.5,Varari,NA,6/21/23,LIGHT,GP,0.7774060605767747,0.7752331798648177,NA,NA,NA,NA
6,NA,NA,1,Varari,NA,6/21/23,LIGHT,GP,0.6476596075701585,0.6364566944539997,NA,NA,NA,NA
6,NA,NA,2,Varari,NA,6/21/23,LIGHT,GP,0.8708356999040401,0.8740007075329799,NA,NA,NA,NA
6,NA,NA,4,Varari,NA,6/21/23,LIGHT,GP,0.7883185416400091,0.7928213325587405,NA,NA,NA,NA
7,NA,NA,0,Varari,NA,6/22/23,LIGHT,GP,0.7872271186081556,0.7974202173454527,NA,NA,NA,NA
7,NA,NA,0.01,Varari,NA,6/22/23,LIGHT,GP,0.8133586893255537,0.8169652343883598,NA,NA,NA,NA
7,NA,NA,0.03,Varari,NA,6/22/23,LIGHT,GP,0.5323703039519515,0.5334899977957965,NA,NA,NA,NA
